datalocation|endtime|eventid|height|heightUncertaintyHigh|heightUncertaintyLow|length|lengthUncertaintyHigh|lengthUncertaintyLow|latitude|longitude|name|quality|starttime|type|subtype|volume|volumeUncertaintyHigh|volumeUncertaintyLow
IRIS|2019_07_15 163436|181|1700.0|||5000.0|||61.29739|-152.24213|Mount Spurr|4|2019_07_15 163209|ice avalanche|Rock/ice/debris avalanches and slides|835000.0||
IRIS, CNSN|2010_08_06 103206|11|2138.0|||12700.0|||50.63108|-123.50387|Mount Meager main|5|2010_08_06 102735|rock slide-debris flow|Rock/ice/debris avalanches and slides|48500000.0|58200000.0|38800000.0
IRIS|2000_04_09 121015|270|3330.0|||10000.0|||30.2031|94.9675|Yìgòng, Tibet|5|2000_04_09 120000|rock slide, debris avalanche|Rock/ice/debris avalanches and slides|300000000.0||
RESIF, ETH, ORFEUS, LMU, BGR, IRIS, INGV|2009_04_19 090823|257|720.0|||1000.0|||46.38|8.43997|Formazza 1, Italy|4|2009_04_19 090531|rock slide|Rock/ice/debris avalanches and slides|175000.0|210000.0|140000.0
IRIS|2018_08_28 160158|156|300.0|340.0|190.0|300.0|430.0|250.0|46.1999|-121.511|White Salmon Glacier, Mount Adams|5|2018_08_28 160049|ice avalanche|Rock/ice/debris avalanches and slides|20000.0|60000.0|10000.0
IRIS|2016_05_28 153103|134|730.0|820.0|630.0|2000.0|2200.0|1700.0|59.21995|-136.17013|Takhinsha Mountains|4|2016_05_28 152756|rock avalanche|Rock/ice/debris avalanches and slides|600000.0|800000.0|450000.0
INGV, RESIF, BGR, ETH|2007_04_21 072739|235|1900.0|||2900.0|||45.93284|7.87915|Monte Rosa, Italy|3|2007_04_21 072409|rock avalanche|Rock/ice/debris avalanches and slides|300000.0|360000.0|240000.0
IRIS|2016_05_25 210309|65|1480.0|1500.0|1450.0|3700.0|||48.7688|-121.81419|Mount Baker|4|2016_05_25 210013|ice and debris avalanche|Rock/ice/debris avalanches and slides|810000.0|1600000.0|410000.0
IRIS|2013_02_02 140206|47|1400.0|1600.0|1300.0|4900.0|5500.0|4500.0|60.02328|-153.031|Iliamna|2|2013_02_02 135550|ice avalanche|Rock/ice/debris avalanches and slides|5600000.0|12000000.0|2700000.0
IRIS|2011_06_27 190309|28|1650.0|||3000.0|||46.843|-121.75|Nisqually 5|4|2011_06_27 185646|rock fall, rock and ice avalanche|Rock/ice/debris avalanches and slides|160000.0|230000.0|120000.0
IRIS|2009_10_11 165952|34|200.0|220.0|180.0|680.0|700.0|660.0|46.81666|-120.91528|Nile Valley eastern failure|4|2009_10_11 164427|rock slide|Rock/ice/debris avalanches and slides|960000.0|1300000.0|740000.0
